"ResponseId_W2","exp_group","condition","ideo_folded","pid_strength","ss1","ss2","ss3","ss4","ss5","ss6","ss_sum","compliance_level","WELL_FEELINGS_1","WELL_FEELINGS_2","WELL_FEELINGS_3","WELL_FEELINGS_4","WELL_FEELINGS_5","WELL_FEELINGS_6","WELL_ACT_1","WELL_ACT_2","WELL_ACT_3","WELL_ACT_4","WELL_ACT_5","SMS_1","SMS_2","SMS_3","SPEECH_1","SPEECH_2","SPEECH_3","SPEECH_4","party_folded","MAL","PREPOL","COMPROMISE","TRUST_1","TRUST_2","TRUST_3","TRUST_4","TRUST_5","TRUST_6","ECON_PRE","ENV_PRE","IMMIG_PRE","GUN_PRE","TRUMP_PRE","ECON_POST","ENV_POST","IMMIG_POST","GUN_POST","TRUMP_POST","thermo_dem_PRE","thermo_rep_PRE","thermo_lib_PRE","thermo_con_PRE","thermo_gun_PRE","thermo_immig_PRE","thermo_climate_PRE","thermo_econ_PRE","thermo_trumpissue_PRE","understand_climate_PRE","understand_econ_PRE","understand_gun_PRE","understand_immig_PRE","understand_opideo_PRE","understand_opparty_PRE","understand_ownideo_PRE","understand_ownparty_PRE","understand_trumpissue_PRE","negtrait_otherideo_stupid_PRE","negtrait_otherparty_stupid_PRE","stupid_gun_PRE","stupid_imig_PRE","stupid_econ_PRE","stupid_climate_PRE","stupid_trumpissue_PRE","thermo_issues_PRE","understand_issues_PRE","stupid_issues_PRE","thermo_dem_POST","thermo_rep_POST","thermo_lib_POST","thermo_con_POST","thermo_gun_POST","thermo_immig_POST","thermo_climate_POST","thermo_econ_POST","thermo_trumpissue_POST","understand_climate_POST","understand_econ_POST","understand_gun_POST","understand_immig_POST","understand_opideo_POST","understand_opparty_POST","understand_ownideo_POST","understand_ownparty_POST","understand_trumpissue_POST","negtrait_otherideo_stupid_POST","negtrait_otherparty_stupid_POST","stupid_gun_POST","stupid_imig_POST","stupid_econ_POST","stupid_climate_POST","stupid_trumpissue_POST","thermo_issues_POST","understand_issues_POST","stupid_issues_POST","TRUST_ALL","SPEECH_ALL","SMS_ALL","WELLBEING_ALL","WELLACT_ALL"
"R_SQbJayKStHXJ48V","lib_t",1,3,4,1,0,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",1,2,1,5,5,1,0,2,0,1,5,7,6,2,3,2,2,4,2,0,2.75,2.5,1,1,-2,1,1,-1,10.3333333333333,1,1.66666666666667,7.33333333333333,3,8,1.33333333333333,3,8.33333333333333,2,37,30,41,34,81,34,2,96,45,5,4,2,5,5,3,2,5,2,5,3,NA,NA,NA,NA,NA,51.6,3.6,NA,35,64,49,25,64,42,0,47,18,3,6,5,5,4,3,5,7,4,4,1,1,4,2,1,4,34.2,4.6,2.4,-0.166666666666667,-2.75,5,-1.5,-0.4
"R_3nCypPVtAjZFT3d","cons_t",1,0,2.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",4,2,6,4,5,5,0,0,0,1,0,1,1,1,7,7,7,7,1,0.6,0.25,0,0,-2,0,0,0,-4,7.66666666666667,3.33333333333333,2,3.66666666666667,7,6,2.66666666666667,1.66666666666667,1,7,52,53,52,51,50,52,50,52,51,7,5,7,7,7,7,7,7,7,1,1,NA,1,1,NA,NA,51,6.6,NA,100,100,100,100,100,100,100,100,100,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,100,6,1,1,-7,1,-2.33333333333333,0.2
"R_26meaovT3y4LdMH","lib_t",1,3,2.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",2,4,4,4,4,4,0,1,1,2,1,1,1,1,7,7,7,7,1,-0.4,1.5,0.25,-1,0,0,-1,0,0,7,5,5.66666666666667,9,1.33333333333333,7.66666666666667,4.33333333333333,4,9,1,31,31,33,30,30,44,30,36,29,4,4,4,4,4,4,4,4,4,1,1,1,NA,NA,1,NA,33.8,4,NA,50,50,50,50,50,50,50,50,50,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,2,50,3.8,1.2,0.333333333333333,-7,1,-1.66666666666667,0.6
"R_1OUmkcoBRpSCLIw","lib_c",0,3,6.5,0,0,0,0,0,0,0,NA,1,1,7,7,5,7,4,0,0,0,5,6,1,6,7,7,7,7,3,-0.2,-1,-0.25,3,0,0,0,0,0,12.6666666666667,1,1,4.33333333333333,4,6.33333333333333,1,1.66666666666667,4,2.33333333333333,100,50,75,50,10,50,50,50,10,1,1,2,1,4,3,6,7,1,2,2,2,NA,NA,2,NA,34,1.2,NA,76,41,81,41,10,52,27,44,27,2,4,1,2,6,5,6,6,2,1,1,1,1,1,1,1,32,2.2,1,-0.5,-7,4.33333333333333,-4,-0.2
"R_1Qm6Emtt85ehfDY","lib_t",1,4,5.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",2,2,7,6,6,6,0,0,0,0,7,3,3,3,5,3,5,5,3,-0.4,0.25,-0.5,-1,1,0,-1,-1,1,3,1,1,1,1,1,1,1,1,1,100,1,100,1,1,1,1,1,1,5,5,5,5,5,5,7,7,5,6,6,NA,6,NA,NA,6,1,5,NA,95,35,95,35,15,15,10,30,15,5,6,3,6,3,4,7,7,3,5,5,7,6,5,7,7,17,4.6,6.4,0.166666666666667,-4.5,3,-3.5,-1.4
"R_cwiKmG5AYA1nldf","lib_c",0,4,4,0,0,0,0,0,0,0,NA,4,5,3,2,2,4,1,1,4,0,4,4,4,4,6,6,6,6,3,0.4,-0.5,0.75,0,0,0,0,1,1,5,1.66666666666667,3.33333333333333,2,2.33333333333333,3.66666666666667,2,2.33333333333333,2,1.66666666666667,85,15,87,30,20,40,15,50,0,1,4,2,5,3,2,6,6,2,4,4,NA,NA,4,NA,4,25,2.8,NA,70,20,80,30,30,55,20,55,5,5,4,3,4,4,5,5,5,2,4,3,2,1,2,2,4,33,3.6,2.2,-0.333333333333333,-6,4,-0.333333333333333,0.4
"R_2ZVm7yyKnFPfpE9","cons_t",1,3,5.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,6,5,6,5,0,1,0,0,4,1,5,5,6,5,5,4,2,-1.8,-1,1,0,0,2,0,-2,-1,8,11.6666666666667,9.33333333333333,8.33333333333333,9,6.33333333333333,6.33333333333333,10,7.66666666666667,9,30,85,25,80,45,40,70,50,20,5,3,4,2,2,3,7,6,4,6,5,5,NA,NA,3,NA,45,3.6,NA,30,70,50,65,40,40,55,50,30,6,2,3,5,3,3,6,6,3,3,5,3,4,2,3,5,43,3.8,3.4,0.166666666666667,-5,3.66666666666667,-3.16666666666667,-0.6
"R_2b0CIqnlI2Y7xDq","cons_t",1,2,5.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",6,5,4,5,4,5,2,1,1,1,5,5,6,5,6,5,4,5,2,-1.6,-0.5,1,1,1,0,0,-1,2,8.66666666666667,5,8.33333333333333,8.33333333333333,9.33333333333333,8.66666666666667,8,7.33333333333333,10.6666666666667,7.66666666666667,45,68,51,64,55,79,60,72,60,6,5,4,5,5,6,4,5,5,4,4,NA,3,4,NA,NA,65.2,5,NA,68,71,52,73,69,78,60,77,63,5,5,6,3,6,5,5,4,4,7,5,6,6,5,5,5,69.4,4.6,5.4,-0.5,-5,5.33333333333333,-1.16666666666667,0
"R_2s6Lry4WWWaas0X","lib_t",1,0,4.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,1,7,7,7,7,0,7,0,0,6,2,1,1,7,7,7,7,3,0,-0.75,0,0,-1,0,-2,0,-3,5,1,3,1,7,7,1,5.33333333333333,1,12.3333333333333,50,85,20,85,0,50,0,20,20,1,1,1,4,7,4,3,3,3,1,1,7,NA,NA,7,NA,18,2,NA,80,90,20,100,0,20,0,0,20,7,7,6,7,7,7,7,7,7,1,1,7,7,7,7,6,8,6.8,6.8,1,-7,1.33333333333333,-4.33333333333333,0.2
"R_2wLTfqTgPoNkTPU","cons_t",1,1,4.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,1,7,7,7,6,1,1,0,0,4,3,1,2,7,7,7,4,0,-0.4,0.5,-1,0,-1,0,-1,0,-2,7.66666666666667,1,2,8.66666666666667,1,9,2,2.66666666666667,9.33333333333333,1.33333333333333,50,50,50,50,50,50,50,50,50,4,4,4,4,4,4,4,4,1,2,2,NA,NA,2,2,NA,50,3.4,NA,51,51,51,52,50,50,50,49,49,4,4,4,5,5,4,5,4,4,2,2,2,2,2,2,2,49.6,4.2,2,0.666666666666667,-6.25,2,-4.16666666666667,-0.4
"R_2rGEHU1BxDrKHdE","lib_t",1,1,3.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",3,4,6,6,5,4,1,2,0,0,0,4,4,4,5,5,5,5,1,0.2,0.5,-1.25,0,-1,0,1,-1,1,3,1,5,4,2,3.66666666666667,1,3.66666666666667,4.66666666666667,2,52,6,56,10,20,11,8,9,0,2,3,4,3,1,1,4,3,1,5,6,NA,NA,NA,4,6,9.6,2.6,NA,60,6,68,9,48,55,6,28,1,1,4,4,4,2,2,5,5,1,5,6,3,4,5,7,7,27.6,2.8,5.2,0,-5,4,-2.33333333333333,0.6
"R_1r0K4JAhlgMRhuM","lib_c",0,0,3,0,0,0,0,0,0,0,NA,7,6,6,5,4,3,0,2,3,2,3,4,4,4,7,7,7,7,2,0,0,-3.25,1,1,1,1,1,1,5,1,11,1,13,3,1,11,1,13,77,72,76,73,73,77,76,74,74,5,5,5,5,5,5,5,6,5,1,1,1,NA,1,NA,NA,74.8,5,NA,85,86,85,85,82,84,83,84,83,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,83.2,6,1,-1,-7,4,-0.833333333333333,0.8
"R_2Xh8yyA20PdDVX6","cons_t",1,0,1,0,0,0,0,0,0,0,"Low Compliance 
(0-2 story surveys)
N = 79",1,2,6,7,7,7,0,0,0,0,2,4,4,4,4,4,4,4,0,0,0,0,1,2,2,2,1,2,7,7,7,3.66666666666667,7,6,2.33333333333333,2,1,7,4,5,4,6,7,4,5,4,4,1,1,1,1,1,1,1,1,1,4,4,4,NA,NA,NA,4,4.8,1,NA,4,4,4,3,4,1,1,3,3,4,4,1,4,2,4,2,4,1,2,2,6,2,2,2,2,2.4,2.8,2.8,-1.66666666666667,-4,4,-4,-0.4
"R_3e20Dz6YGZvUuF7","lib_t",1,3,3.75,1,0,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",1,1,7,4,7,5,0,2,0,1,0,1,7,4,6,6,6,6,1,1.4,-0.75,2.5,1,0,3,0,1,2,11,1.66666666666667,1.66666666666667,2,6.33333333333333,11,1,1,10,10.6666666666667,89,87,87,86,89,88,90,80,84,4,5,4,6,5,4,6,5,6,2,1,NA,NA,NA,1,2,86.2,5,NA,72,51,48,94,51,34,18,45,75,1,4,1,1,2,4,7,7,6,1,1,4,4,1,7,1,44.6,2.6,3.4,-1.16666666666667,-6,4,-3.5,0.6
"R_3Dni3y4dRSK5xOB","cons_c",0,3,4.5,0,0,0,0,0,0,0,NA,1,3,6,7,7,7,0,0,0,0,5,1,1,6,7,7,5,6,3,-0.399999999999999,0.5,0,1,0,0,0,0,-1,8.66666666666667,8,7.33333333333333,8,8.33333333333333,8.66666666666667,8.33333333333333,7.33333333333333,9.33333333333333,8,17,74,23,67,14,53,50,29,42,5,3,2,5,3,2,6,6,3,5,6,5,3,NA,NA,NA,37.6,3.6,NA,19,69,56,68,18,46,46,31,25,4,4,4,4,2,2,6,6,4,4,4,4,1,3,4,3,33.2,4,3,0,-6.25,2.66666666666667,-3.83333333333333,-1
"R_2fII7TgZ7RZkP6a","lib_t",1,3,6,1,0,0,0,0,0,1,"Low Compliance 
(0-2 story surveys)
N = 79",2,4,5,4,4,5,0,0,1,1,5,2,2,1,4,5,4,5,1,-0.2,-0.5,-1.25,2,2,1,1,-1,-2,5,1.66666666666667,3.33333333333333,10,1.33333333333333,5.66666666666667,2,2.33333333333333,8.66666666666667,1.66666666666667,64,18,84,35,32,29,66,26,76,2,2,2,1,3,2,6,6,7,2,2,NA,NA,NA,5,5,45.8,2.8,NA,75,22,73,23,49,15,29,23,13,3,3,2,4,2,2,5,6,2,2,2,2,2,1,1,2,25.8,2.8,1.6,-0.5,-4.5,1.66666666666667,-2,-0.6
"R_bKNcyOT2YMrww0N","lib_t",1,1,3.75,0,1,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",3,6,6,6,6,5,3,2,0,1,2,2,6,7,7,7,7,7,1,0.2,0,0,0,-1,0,0,-1,-1,6.66666666666667,2.33333333333333,2.66666666666667,3.33333333333333,4.66666666666667,6.66666666666667,2,2,4,4,60,31,61,47,2,4,12,35,21,4,4,5,3,6,5,5,5,6,2,2,3,NA,NA,NA,2,14.8,4.4,NA,71,48,72,58,8,41,41,49,26,3,4,3,3,4,4,6,5,3,1,1,3,4,1,2,2,33,3.2,2.4,0.5,-7,5,-2.33333333333333,0.8
"R_UDsB7SZhgTAWkNz","lib_c",0,0,4.25,0,0,0,0,0,0,0,NA,1,1,5,6,6,6,2,0,0,0,5,3,4,7,6,6,6,6,1,-1.8,0.25,1.75,1,1,1,1,0,1,5.33333333333333,1,3.66666666666667,1,4,4.66666666666667,1.33333333333333,3,1,2.66666666666667,97,11,49,65,20,21,20,66,5,3,2,2,2,4,1,3,4,2,4,5,NA,NA,4,NA,4,26.4,2.2,NA,96,2,54,57,3,12,2,72,4,1,4,2,2,3,1,4,6,1,5,5,7,6,3,7,6,18.6,2,5.8,-0.833333333333333,-6,4.66666666666667,-3.5,-0.6
"R_2qDC8N9pgaqNXW4","cons_t",1,5,6.25,0,0,0,0,0,0,0,"Low Compliance 
(0-2 story surveys)
N = 79",4,7,4,4,5,2,0,1,2,3,3,7,7,6,7,6,6,7,3,0,-2.75,1.75,0,0,3,0,-1,1,3.66666666666667,7,12,7,1,4,8.33333333333333,7,12,1.33333333333333,4,59,1,4,8,4,6,6,1,2,2,1,4,1,3,4,5,1,7,7,7,NA,NA,7,NA,5,2,NA,13,69,5,8,13,4,19,8,14,5,4,4,4,1,5,7,3,1,1,3,1,1,2,1,1,11.6,3.6,1.2,-0.5,-6.5,6.66666666666667,-0.666666666666667,0.6
"R_2fuIVSNLbtcbNDK","lib_c",0,0,7,0,0,0,0,0,0,0,NA,2,3,6,4,4,4,0,1,0,1,4,7,4,4,4,4,4,4,3,1.2,-2.25,0,1,1,-2,-1,-1,0,5.66666666666667,6.33333333333333,7,5.66666666666667,1,5.66666666666667,7,7,4.33333333333333,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,4,4,1,4,4,NA,NA,4,NA,4,1,3.4,NA,100,0,50,50,0,0,0,0,0,4,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,0,3.4,1,0.333333333333333,-4,5,-2.16666666666667,-0.4
"R_bww7mkbFUJqtqdX","lib_t",1,4,4.5,1,1,1,1,1,0,5,"High Compliance 
(5-6 story surveys)
N = 337",1,4,4,2,1,4,0,2,1,2,0,1,2,5,5,5,4,4,3,-0.2,-0.5,1.25,0,-1,-1,-1,0,-1,4.33333333333333,1,1.33333333333333,1,1,3,1,1.33333333333333,1,1,87,0,96,0,0,0,1,0,0,1,1,1,1,1,1,6,6,1,7,7,NA,7,7,NA,NA,0.2,1,NA,92,0,93,0,0,0,0,15,0,1,4,1,3,2,2,7,6,1,7,7,7,7,4,7,7,3,2,6.4,0.666666666666667,-4.5,2.66666666666667,-1,1
"R_22Vu2AkGV7Dpgs2","lib_t",1,1,4.75,1,0,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",5,2,4,2,3,2,3,3,2,2,3,4,5,6,5,4,4,3,0,-0.4,-1.75,0.75,-1,-1,-1,-2,1,-2,8.33333333333333,7.66666666666667,7.33333333333333,8.66666666666667,8.66666666666667,7.33333333333333,7.66666666666667,8.33333333333333,8,7.33333333333333,21,20,35,1,21,1,24,1,1,4,5,4,4,5,4,5,5,5,4,4,4,NA,NA,NA,5,9.6,4.4,NA,10,44,1,40,1,1,1,32,43,3,3,2,3,2,5,2,3,3,2,2,3,3,3,2,2,15.6,2.8,2.6,1,-4,5,-0.666666666666667,1.4
"R_Xnt3E9PuhutsZB7","lib_t",1,5,1,1,1,1,1,0,1,5,"High Compliance 
(5-6 story surveys)
N = 337",4,4,5,5,5,4,1,0,0,0,7,1,7,7,1,1,5,1,1,0,2,0.5,-2,0,-1,-1,1,2,5,1,1,1,1,5,1,1,1,1,30,1,52,1,1,1,1,1,1,1,3,1,1,1,2,7,4,1,7,7,7,NA,NA,7,NA,1,1.4,NA,35,0,81,0,0,0,0,0,0,1,1,1,1,1,1,7,3,1,7,7,7,7,7,7,7,0,1,7,0.166666666666667,-2,5,-1.83333333333333,-1.2
"R_abHmXM2VQ3kQmOJ","cons_t",1,4,5,0,0,0,0,0,0,0,"Low Compliance 
(0-2 story surveys)
N = 79",1,1,6,7,7,6,0,0,0,0,7,1,4,4,7,7,7,7,3,-0.4,-0.25,0.5,-2,0,-1,-1,-3,0,8.66666666666667,4.66666666666667,7.33333333333333,3.33333333333333,10,9.33333333333333,5.33333333333333,7,4,10.3333333333333,35,85,35,85,25,30,30,35,35,4,4,4,4,3,4,5,5,4,2,2,NA,NA,2,NA,2,31,4,NA,50,55,50,55,50,50,50,50,50,4,4,4,4,4,4,6,6,4,1,1,1,1,1,1,1,50,4,1,1.16666666666667,-7,3,-4,-1.4
"R_2S66Bv1oUpNKJ5r","lib_c",0,2,4.5,0,0,0,0,0,0,0,NA,1,1,6,6,6,6,0,0,0,0,5,4,4,4,6,6,5,6,2,0.399999999999999,0.5,-0.75,-1,1,1,0,1,1,8.66666666666667,4,7.66666666666667,1.33333333333333,1.33333333333333,8,2.33333333333333,3.33333333333333,1,1.33333333333333,73,6,89,11,1,50,44,48,1,4,5,5,5,4,3,4,6,3,2,5,NA,3,NA,NA,4,28.8,4.4,NA,80,11,75,50,1,50,35,50,3,3,3,1,4,4,2,4,4,1,2,4,7,3,3,4,7,27.8,2.4,4.8,-0.5,-5.75,4,-3.66666666666667,-1
"R_1fZ8xYYWi8X6ukZ","cons_t",1,3,5.5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,5,7,7,6,0,1,0,1,5,1,1,1,7,7,7,7,2,0.4,0,-0.75,0,0,0,0,0,0,9,12.3333333333333,9.33333333333333,10,11.6666666666667,8.66666666666667,12.3333333333333,9.66666666666667,11,12.3333333333333,1,90,9,90,7,20,13,44,15,2,5,5,2,3,2,6,6,1,3,3,NA,NA,5,NA,3,19.8,3,NA,12,87,7,94,20,9,50,13,48,2,5,3,1,2,3,7,6,3,4,6,4,5,6,5,4,28,2.8,4.8,0,-7,1,-3.66666666666667,-0.6
"R_WrOKK2vHqgnhgWJ","lib_c",0,5,2.25,0,0,0,0,0,0,0,NA,7,7,5,5,5,2,0,1,2,2,0,4,4,4,6,6,6,6,1,0.4,0.5,-2.75,0,-1,0,-2,1,0,4.33333333333333,1,1,1.66666666666667,1,6,1.33333333333333,1.33333333333333,3.66666666666667,1,60,11,79,31,1,19,1,50,100,1,4,1,4,4,4,4,4,1,4,4,4,4,NA,NA,NA,34.2,2.2,NA,48,11,67,13,27,28,10,22,9,1,4,4,4,4,4,4,4,1,2,2,2,2,2,7,7,19.2,2.8,4,0.333333333333333,-6,4,-0.5,1
"R_2WVa6pB7aMqySfN","cons_c",0,2,4.5,0,0,0,0,0,0,0,NA,2,3,5,4,5,4,2,1,0,0,0,4,1,4,5,5,5,5,0,-1.4,-1.75,-0.5,-3,0,0,0,-1,-2,7.66666666666667,6.33333333333333,6.33333333333333,8.33333333333333,4,5.33333333333333,3.66666666666667,9,9.66666666666667,2.33333333333333,50,70,59,74,76,45,54,63,69,5,3,5,5,5,5,5,5,5,4,4,NA,NA,4,4,NA,61.4,4.6,NA,59,28,31,18,42,31,34,29,83,4,5,6,3,4,4,4,4,5,1,1,1,1,1,1,3,43.8,4.6,1.4,1,-5,3,-2.16666666666667,0.6
"R_22n4qXnGCl6LZ2Q","cons_c",0,3,6,0,0,0,0,0,0,0,NA,1,2,5,4,4,4,0,1,1,2,0,6,6,4,6,6,5,6,2,-0.2,0.25,-0.75,0,0,-1,1,2,0,11.3333333333333,11,13,12.3333333333333,12,9,12.3333333333333,9,13,11.6666666666667,8,92,9,92,8,19,8,29,10,1,6,6,7,1,6,7,7,6,3,6,NA,NA,6,6,NA,14.8,5.2,NA,8,94,10,90,10,9,7,7,7,1,1,1,2,1,1,7,7,3,1,1,1,1,1,1,1,8,1.6,1,-0.333333333333333,-5.75,5.33333333333333,-2.33333333333333,0.8
"R_3NECZplTkdggMnd","lib_t",1,1,5.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,4,6,6,4,2,4,1,2,5,1,1,2,7,7,7,4,3,2,0.5,3,0,2,0,-3,-2,1,5.33333333333333,1,1,1,1,9,5,1,5,1,100,1,17,5,2,6,57,39,2,1,1,1,1,4,1,1,7,1,4,1,NA,7,NA,NA,7,21.2,1,NA,100,4,27,65,4,3,15,5,3,3,2,1,2,4,1,3,7,1,4,6,7,7,7,4,7,6,1.8,6.4,0.333333333333333,-6.25,1.33333333333333,-2.83333333333333,0.8
"R_2bNoYzPW3X74UA3","lib_c",0,0,2.75,0,0,0,0,0,0,0,NA,2,1,6,5,6,5,1,1,0,0,5,5,4,4,5,4,4,4,1,0.8,-0.5,-1,2,-2,0,-1,-3,0,7,8.33333333333333,8.33333333333333,4.33333333333333,3.66666666666667,10,8,8.66666666666667,4,2.66666666666667,54,25,37,58,24,18,9,33,29,5,6,6,4,5,5,4,5,4,4,4,NA,NA,NA,4,4,22.6,5,NA,41,40,51,48,47,54,56,50,71,4,4,6,5,5,6,6,5,5,5,4,5,3,5,4,4,55.6,4.8,4.2,0.666666666666667,-4.25,4.33333333333333,-3.16666666666667,-0.6
"R_3GpJ6WnPi3M8s1J","lib_t",1,5,1,0,1,1,0,1,1,4,"Middle Compliance 
(3-4 story surveys)
N = 89",4,4,5,4,4,4,1,1,0,0,5,1,1,1,7,7,7,7,1,0,-1.5,2,-1,-2,0,1,-2,1,1,1,1,1,1,5,1,1,1,1,54,39,71,58,37,55,28,54,54,4,4,4,4,4,4,4,4,4,1,1,NA,1,NA,1,NA,45.6,4,NA,50,50,50,50,50,50,50,50,50,5,5,5,5,5,5,6,6,5,1,1,1,1,1,1,1,50,5,1,0.5,-7,1,-1.5,-0.6
"R_2CreN9q5QTWnww8","cons_c",0,2,5.25,0,0,0,0,0,0,0,NA,4,4,5,5,4,5,0,2,0,0,1,3,1,1,4,4,3,5,2,-0.2,-0.25,0.25,0,-1,0,-1,-1,-1,6,5,11.6666666666667,8.66666666666667,10.6666666666667,6,6,10.3333333333333,7.66666666666667,10.3333333333333,7,64,37,86,61,8,45,46,14,2,4,3,2,3,3,5,5,4,3,3,2,NA,NA,3,NA,34.8,3,NA,13,78,29,77,31,12,47,44,13,4,4,4,2,3,2,5,5,1,2,5,2,5,4,3,5,29.4,3,3.8,0.666666666666667,-4,1.66666666666667,-1.83333333333333,0.2
"R_1nSKmToOxNM2UL2","lib_t",1,2,4.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",5,5,5,5,5,5,2,3,1,0,2,4,4,6,6,6,6,6,2,-0.4,-0.75,0.25,1,0,1,0,0,1,5.66666666666667,1.66666666666667,3,2.33333333333333,1,5.33333333333333,2.33333333333333,2.66666666666667,1.66666666666667,1,51,12,49,20,3,16,20,46,4,3,4,2,3,3,2,5,5,1,4,5,NA,4,NA,NA,5,17.8,2.6,NA,54,31,53,44,11,33,51,54,17,4,4,2,4,4,3,5,5,2,3,4,4,3,2,1,5,33.2,3.2,3,-0.5,-6,4.66666666666667,-1.66666666666667,0.8
"R_55cBfNzG34USKn7","lib_c",0,0,4.25,0,0,0,0,0,0,0,NA,5,3,2,2,3,3,0,1,0,0,1,1,2,4,5,5,5,5,0,0.8,0.75,0,0,1,0,0,0,0,6,5.33333333333333,2.66666666666667,7,2,7.66666666666667,4.66666666666667,4.33333333333333,6,1.66666666666667,10,10,39,40,25,4,25,50,10,5,4,5,4,5,3,5,5,3,3,4,NA,3,NA,NA,4,22.8,4.2,NA,20,10,31,30,48,37,50,31,8,5,4,5,4,5,4,4,4,3,4,4,3,4,3,3,6,34.8,4.2,3.8,-0.166666666666667,-5,2.33333333333333,-0.333333333333333,0
"R_vphoXK4cMJZSiDD","lib_t",1,2,6,0,1,1,1,1,1,5,"High Compliance 
(5-6 story surveys)
N = 337",1,1,5,5,7,6,0,1,0,0,0,2,2,2,7,7,7,7,3,-0.4,1.5,-0.5,0,0,1,0,0,0,8.33333333333333,2.66666666666667,1,5.66666666666667,2,8,2.66666666666667,1,5,3,100,28,53,53,19,0,30,50,0,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,1,1,19.8,4,NA,100,54,52,55,30,29,10,30,40,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,27.8,4,2,-0.166666666666667,-7,2,-3.5,0.2
"R_1H8DgVZEcD4rDQR","lib_t",1,5,5.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,4,5,6,5,5,0,0,1,0,0,5,4,5,5,5,4,5,3,-1.4,0,0,-2,0,1,0,3,0,6.33333333333333,1.33333333333333,1,1.33333333333333,1,5,1.33333333333333,1,1.66666666666667,1,89,12,96,7,8,14,6,54,4,2,4,3,3,2,3,7,6,2,4,4,NA,4,NA,NA,5,17.2,2.8,NA,84,2,83,9,11,27,10,39,0,2,3,3,2,2,2,6,6,2,3,6,4,4,3,5,6,17.4,2.4,4.4,-0.333333333333333,-4.75,4.66666666666667,-2.66666666666667,0.2
"R_1C6Z07X0uaqtUNX","cons_c",0,4,4.5,0,0,0,0,0,0,0,NA,1,3,5,4,4,6,0,2,0,1,3,1,1,2,7,7,7,7,2,0,0.75,0.5,-1,-1,0,-2,-1,-1,10,6.33333333333333,8.66666666666667,8.66666666666667,8.33333333333333,10.3333333333333,5.66666666666667,7.33333333333333,9.33333333333333,9,36,72,77,90,21,43,47,35,56,5,4,3,4,4,5,7,6,5,3,4,NA,NA,4,4,NA,40.4,4.2,NA,46,68,55,86,33,28,34,58,53,4,3,5,5,4,5,4,6,5,2,2,3,2,2,2,2,41.2,4.4,2.2,1,-7,1.33333333333333,-2.5,0
"R_1DSwghpJpIfCZeJ","lib_t",1,5,6.75,0,0,1,1,0,0,2,"Low Compliance 
(0-2 story surveys)
N = 79",1,3,5,5,5,5,0,2,0,1,1,5,4,5,7,7,7,6,3,-1.4,0.25,3,2,0,0,-1,1,0,5,1,1,1,1,5,1,1,1,1,100,2,100,5,0,5,10,10,0,2,3,1,3,2,2,7,7,1,5,6,NA,NA,4,NA,5,5,2,NA,100,0,100,5,0,0,30,50,0,2,3,2,4,4,4,7,7,2,5,5,6,5,4,5,7,16,2.6,5.4,-0.333333333333333,-6.75,4.66666666666667,-2.66666666666667,0.4
"R_BrFfACMueF2V1jb","lib_c",0,2,6,0,0,0,0,0,0,0,NA,1,1,7,7,7,7,0,1,0,0,0,7,2,7,5,5,5,5,1,-1,-0.75,0,1,1,2,1,0,-2,6,2,1,1,1,5,1,1,3,1.33333333333333,100,1,72,19,1,73,71,71,1,4,4,4,4,7,1,6,6,1,4,2,NA,6,4,NA,NA,43.4,3.4,NA,100,28,75,58,3,51,19,50,3,1,4,1,1,4,3,4,7,1,4,5,6,6,3,2,1,25.2,1.6,3.6,-0.5,-5,5.33333333333333,-4.33333333333333,0.2
